Tem,DO,BOD,COD,Chla,TN,TTP,pH,NH4N,NH3N,PO4P,SS
1.8,14.1,0.8,2.9,6.3,2.152,0.018,8.1,0.045,1.623,0,4.4
1.3,14.6,1,2.7,10.1,2.131,0.02,8,0.052,1.547,0,4
1.9,13.9,0.9,3.2,17.9,1.901,0.038,8.2,0.024,1.597,0,8.6
1.9,13.9,1.3,3.9,31.1,1.97,0.021,8.4,0.031,1.479,0.002,5.9
1.8,14.7,1,4.3,20.5,1.994,0.018,8.6,0.09,1.441,0.002,4.1
0.7,14.3,1.1,3.6,11.1,1.935,0.016,8.5,0.077,1.46,0.002,3.1
1.2,13.5,0.7,2.8,7.4,1.967,0.017,8.6,0.133,1.441,0.004,3.8
2.1,13.6,0.9,3.5,9.1,1.92,0.021,8.4,0.058,1.386,0.001,3.4
1.5,13.7,1.4,3.7,17.8,1.865,0.02,8.6,0.084,1.418,0.003,4
3.1,14.9,1.7,5.1,31.5,1.767,0.03,8.8,0.019,1.36,0.003,6.6
4.4,13.4,1.6,4.4,21.1,1.727,0.028,8.4,0.047,1.311,0.001,5.2
4.3,13.8,1.4,4.1,12.8,1.625,0.023,8.4,0.047,1.321,0.002,4.2
5.9,13.3,1.4,3.7,10.7,1.539,0.025,8.2,0.079,1.337,0.001,3.6
6.6,12.5,1.2,2.8,7.3,1.549,0.018,7.9,0.06,1.289,0.001,2.2
7.7,12,2,3.5,6.5,1.842,0.017,7.6,0.046,1.498,0,3.1
8.7,11.8,1.4,3.3,11,2.477,0.023,7.5,0.031,2.007,0.001,3.4
10.5,12.1,0.8,2.9,6.9,2.252,0.017,7.9,0.046,1.738,0.001,6.2
11.3,11.1,0.7,3.5,7.4,2.169,0.021,7.9,0.025,1.694,0.002,3.7
13.5,11.9,1.2,3.3,11.6,2.345,0.023,8,0.016,2.077,0.001,3.3
15.2,11.6,1.4,3.4,10.4,1.897,0.014,8.5,0.011,1.733,0.001,3.1
15.8,10.6,1.5,3.4,7.8,1.838,0.017,8.5,0.031,1.471,0.001,2.8
17.3,11,1,3.1,7.4,1.719,0.026,8.7,0.021,1.303,0.002,3.7
20.1,10.2,1.7,4.4,13.8,1.916,0.021,8.6,0.049,1.433,0.005,3.4
22.6,10.6,1.4,3.8,6.4,1.74,0.022,8.7,0.016,1.305,0.002,2.2
19.4,10.1,0.9,3,6.2,1.679,0.014,8.1,0.033,1.272,0,3.2
20.6,9.5,0.7,3.1,4.1,1.49,0.009,8.3,0.042,1.192,0,1.4
21.2,9,0.7,3.1,6,1.449,0.01,8.1,0.046,1.278,0.001,2.8
24.6,10.8,2.1,4.6,19.6,1.711,0.017,8.8,0.021,1.213,0.003,3.3
21.2,7.8,1,4.3,11.1,2.597,0.051,7.6,0.05,1.825,0.003,6.4
19.8,8.8,1.2,3.4,15,2.75,0.027,7.3,0.042,2.232,0.001,7.5
26.1,11.6,2.5,5.1,31,2.587,0.03,8.8,0.019,2.007,0.002,6.3
26.5,10.9,2.7,7.2,39.8,2.424,0.033,9.2,0.022,1.803,0.001,9.1
26.5,8.3,1.9,4.3,25.6,2.057,0.02,8.4,0.013,1.609,0.004,6.6
25.5,7.4,2,4.6,21.3,1.953,0.023,6.9,0.06,1.433,0,7
19.9,9.2,0.6,5.9,2.5,2.217,0.111,7.1,0.032,1.633,0.018,50.4
21.4,8.7,0.6,3.9,6.7,2.349,0.025,7.4,0.031,2,0.002,5
21.5,9.6,0.8,3.9,12.7,2.017,0.025,7.6,0.025,1.676,0.001,4.3
20.7,9.3,0.4,3.5,9.8,1.948,0.015,7.4,0.021,1.723,0,3.9
19.3,9.3,0.8,4.5,16.2,1.969,0.033,7.4,0.02,1.699,0,5.8
19.4,10.2,0.9,3.9,20.6,1.809,0.025,7.9,0.006,1.557,0.001,6.9
19,10.1,1,3.9,17.9,2.072,0.03,7.9,0.011,1.587,0,5.6
18.5,9.7,0.9,3.6,16.5,1.891,0.033,7.5,0.014,1.555,0,4.3
17.3,9.5,0.5,3.8,11.8,1.972,0.035,7.5,0.023,1.544,0,3.7
15.7,10.6,0.5,3.6,6.9,1.967,0.018,7.3,0.041,1.616,0,4.6
14,8.8,0.6,3.2,10.2,2.028,0.028,7.3,0.037,1.61,0,4
11.9,9.6,0.8,3.9,13.7,2.135,0.032,7.4,0.069,1.71,0.001,4.1
11,10.5,0.5,3.7,6.1,1.829,0.016,7.5,0.036,1.629,0,3.2
8.1,10.1,0.5,3.6,4.4,2.136,0.02,7.3,0.033,1.729,0,2.1
6.5,10.6,0.6,3.4,6.3,1.993,0.019,7.2,0.035,1.642,0.001,2
4.9,10.9,0.5,3.3,5.3,1.899,0.01,7.4,0.023,1.772,0,1.9
2.7,11.5,0.5,3.7,3.3,1.879,0.01,8.2,0.091,1.688,0,1.5
1,11.5,0.6,2.9,2.8,1.905,0.012,8.3,0.077,1.67,0,1.1
0.2,12,0.5,3.2,3,2.102,0.009,7.1,0.09,1.841,0.001,0.7
0.2,11.9,0.4,3,3.3,2.095,0.009,8.1,0.111,1.739,0,1.1
0.1,11.6,0.5,2.9,2.6,2.225,0.012,7.8,0.18,1.78,0,1.1
0.5,13.2,0.4,3,3.2,2.319,0.012,7.5,0.255,1.741,0.001,1
0.6,13.4,0.6,2.6,3,2.212,0.01,7.9,0.29,1.752,0,0.9
1.1,13.7,0.2,2.7,2.2,2.341,0.009,8.7,0.331,1.807,0.001,0.6
1,13,0.4,2.3,4.5,2.354,0.012,7.6,0.234,1.878,0.001,1
0.8,13,0.6,3.3,2.9,2.321,0.021,7.3,0.339,1.809,0.004,2.8
1.6,13,0.5,4.2,2.2,2.019,0.012,7.5,0.229,1.676,0.002,1.6
2.7,13.3,0.5,1.9,3.6,1.972,0.011,8.1,0.216,1.643,0,1.4
2.5,13,0.7,3.6,5.5,1.892,0.013,8,0.131,1.592,0,0.9
4,13.1,0.7,2.1,6.2,1.788,0.011,7.6,0.101,1.592,0,1
6.4,12.5,1,3.4,7.7,1.922,0.015,7.6,0.13,1.616,0,1.8
7.4,12.5,0.6,3.1,4.4,1.892,0.009,7.7,0.077,1.641,0.001,2
7.6,12.6,0.9,2.8,7.1,1.879,0.015,7.7,0.104,1.568,0,2.3
8.2,12.6,0.9,2.9,6.7,2,0.009,7.7,0.14,1.571,0,3.1
8.9,12.5,0.9,3,6.6,1.85,0.018,7.6,0.115,1.523,0,3.6
10.1,11.9,0.8,3.6,3.1,1.802,0.011,7.6,0.125,1.525,0,2.9
13.4,11.5,0.8,2.8,3.9,1.728,0.012,7.6,0.027,1.538,0.001,2.7
16.1,11.5,1.4,3.5,8.1,1.801,0.025,7.9,0.102,1.444,0.001,2.5
15.7,10.7,0.9,3.1,8.2,1.696,0.015,7.6,0.084,1.43,0,3.4
16.6,10,1.3,3,9.8,1.885,0.027,7.5,0.09,1.506,0.004,4.9
17.6,10.6,1.1,3.7,8.8,1.803,0.015,7.7,0.045,1.5,0.001,3.1
19.4,10.4,0.9,3.1,10.7,1.739,0.016,7.6,0.055,1.407,0.001,4.3
18.5,10.1,0.7,2.7,4.7,1.562,0.01,7.5,0.041,1.293,0.001,1.4
24.7,11.9,1.3,4.8,16.5,1.973,0.025,9,0.01,1.505,0.003,3.5
22.4,9.2,1,4.1,9.4,1.553,0.013,7.7,0.056,1.256,0.002,3.9
20.1,8.6,1.1,3.7,10.5,1.977,0.034,7.3,0.102,1.607,0.003,9.4
17.9,11.2,0.6,3.8,0.4,1.506,0.084,7.3,0.043,1.261,0.019,31.8
19.9,9.4,0.7,3.5,5.7,1.708,0.037,7.2,0.018,1.502,0.009,12.1
20.8,9.4,0.6,3.4,3.3,1.398,0.034,8,0.017,1.167,0.007,9.3
23.3,9.8,0.4,3,5.9,1.25,0.018,7.9,0.013,1.082,0.003,2.9
23.7,8.8,0.7,3.6,2.2,1.32,0.017,7.9,0.003,1.185,0.003,5.3
24.2,8.8,0.3,2.8,4.1,1.342,0.017,7.6,0.013,0.957,0.003,2.7
22.4,8.3,0.7,3.3,4.9,1.497,0.021,7.5,0.002,1.303,0.001,4.5
22.1,8,0.8,2.9,6.7,1.543,0.016,8.2,0.014,1.395,0.001,3.2
21,8.4,0.3,3.3,3.6,2.126,0.045,7.4,0.037,1.804,0.014,11.5
21.9,9.6,0.8,4.5,21.5,2.355,0.032,7.9,0.069,1.874,0.005,3.8
19.8,9.5,0.8,3.4,27.2,2.098,0.024,8.1,0.011,1.782,0.001,8.6
18.2,8.8,0.6,3.2,9,1.784,0.016,7.7,0.025,1.454,0,4.6
17.1,10.1,1,4,19.5,2.502,0.021,8.1,0.005,1.369,0,8.7
15.2,10.3,0.4,3.8,19.7,1.56,0.016,8.4,0.006,1.32,0,6.8
14.6,10.3,0.6,4,20.2,1.576,0.022,8,0.02,1.39,0,7.9
11.9,10.2,0.5,3.6,7.6,1.642,0.015,7.6,0.019,1.352,0,4.1
9.8,10.5,0.6,3.1,6.2,1.639,0.012,7.8,0.03,1.432,0,3.4
8.3,10.9,0.5,3,6.2,1.817,0.013,8,0.087,1.456,0,3.9
6.8,11.2,0.9,3.2,5.2,1.795,0.011,7.7,0.035,1.509,0,2.5
5.5,12.3,0.6,3,4.2,1.88,0.013,7.6,0.082,1.55,0,2.3
3.6,12.2,0.7,2.1,4.2,1.888,0.01,7.3,0.111,1.589,0,2
2.4,12.5,0.5,2.7,4.2,1.937,0.011,8,0.102,1.639,0,1
2.5,12.7,0.6,2.9,4.6,2.118,0.01,9.2,0.244,1.742,0.004,1.9
1.2,13.2,0.8,3.2,4.4,1.976,0.008,8.3,0.147,1.688,0.004,1.7
1.7,13.1,0.7,2.6,6.3,2.075,0.008,9.2,0.201,1.662,0,2
2.4,12.6,0.5,2.6,6.1,1.957,0.009,7.9,0.163,1.637,0.001,1.3
1.8,13.3,0.8,2.8,8.6,1.975,0.009,8.2,0.159,1.682,0.001,1.9
2.6,13.2,0.9,2.8,6.8,2.059,0.009,8.5,0.219,1.603,0.001,2.1
2.9,12.8,1.1,3,9,1.877,0.014,8,0.211,1.472,0.002,2.4
3.8,14.4,0.9,2.6,6.3,1.822,0.01,7.8,0.142,1.485,0.001,1.5
4.8,13.2,0.8,2.6,5.9,1.606,0.01,7.9,0.09,1.389,0.002,1.9
5.6,13,1,2.5,5.1,1.665,0.011,7.8,0.069,1.365,0.001,2
7.5,12.6,0.8,2.7,5,1.614,0.007,7.8,0.104,1.386,0.002,2.5
8.5,12.6,0.8,2.6,5.5,1.638,0.01,7.7,0.119,1.334,0.001,2.6
10.8,12.2,0.8,2.7,5.8,1.485,0.02,8,0.072,1.342,0.001,2.6
10.7,11.8,0.8,2.7,6.9,1.642,0.01,8.1,0.046,1.337,0,2.9
13,11.4,0.9,2.8,5.7,1.834,0.006,7.9,0.048,1.351,0.001,2.4
13.9,11.1,0.8,3,5.3,1.7,0.014,7.7,0.025,1.306,0.001,4
14.5,10.1,0.9,2.9,3.3,1.563,0.009,7.9,0.03,1.268,0.002,3.6
15.8,9.9,0.8,2.8,4,1.6,0.01,8,0.017,1.303,0,2.9
16.1,10,1,2.7,5.4,1.487,0.013,7.7,0.032,1.245,0,2.4
19.3,9.8,0.7,3,2.8,1.44,0.011,7.8,0.031,1.263,0.001,1.4
20.9,10.3,1,3.3,2.3,1.382,0.009,8.2,0.022,1.025,0.001,1.3
23.6,9.8,1,3.3,4.8,1.571,0.01,8.2,0.025,1.119,0,1.5
23.2,10.2,1.1,3.3,4.7,1.527,0.011,8.3,0.015,1.104,0,1.4
23.9,9.8,1.1,3.7,5.9,1.543,0.012,8.3,0.023,1.022,0.001,1.9
23.6,9.6,1.1,3.1,6.7,1.389,0.01,8.1,0.023,1.088,0,1.1
26,9.2,0.6,3.8,2.3,1.285,0.01,8.4,0.039,1.1,0.001,0.5
25.2,10.3,1.1,3.8,5.3,1.385,0.012,8.8,0.023,1.03,0.001,1.1
26.7,9.1,0.9,3.7,6.5,1.301,0.015,8.4,0.042,1.06,0.001,1.1
28.3,9.4,0.5,3.7,5.5,1.017,0.013,8.7,0.041,0.91,0.001,1
24.3,9.8,1.8,3.7,6.8,1.955,0.014,8,0.004,1.33,0,3.6
23.6,8.7,0.6,3.1,4.7,1.822,0.01,8,0.035,1.15,0.001,1.3
23.5,9,0.7,3.2,8.3,1.531,0.015,7.6,0.016,1.28,0.001,2.6
23.5,8.6,0.9,3.6,14.1,1.601,0.019,7.2,0.011,1.27,0,2.6
21.1,8.5,0.7,3.9,8.3,2.415,0.026,7.4,0.019,1.98,0.004,4.8
23.9,11.5,1.2,4.9,27.4,2.687,0.02,9,0.008,2.2,0.001,5.7
23.1,9.9,1.3,3.5,12.4,2.122,0.019,8.7,0.012,1.72,0.001,4.6
23.7,10,1.2,3.5,8,2.137,0.011,8.2,0.006,1.64,0,2.8
21.7,9.2,0.9,3.3,10.4,2.058,0.015,8,0.007,1.63,0,4.3
21.5,8.6,0.8,3.2,8.7,1.786,0.016,7.8,0.027,1.52,0,3.8
20.2,9.2,1.2,2.8,9.9,2.224,0.01,7.7,0.015,1.46,0,4.2
19.2,9.1,0.8,2.7,5,1.55,0.009,7.7,0.02,1.38,0.001,3.5
17,9,0.7,3.3,4.9,1.648,0.014,7.9,0.014,1.21,0.001,3.1
16.6,9.5,0.6,2.9,6.5,1.645,0.01,7,0.01,1.05,0.001,2.7
15.1,9.6,0.6,3,5,1.752,0.012,7.7,0.009,0.82,0,3.6
13.4,10,0.9,2.8,1.9,1.566,0.012,7.8,0.01,1.37,0,2.6
11,10.3,0.9,3,3.3,1.64,0.01,7.4,0.01,1.45,0.001,2.2
10.3,10.5,0.8,2.3,1.5,1.782,0.007,7.6,0.017,1.45,0.001,1.8
9.6,10.6,1,2.3,1.6,1.725,0.01,7.7,0.032,1.453,0,2
5.1,11.3,0.8,2.7,0.8,1.892,0.01,7.6,0.041,1.538,0,1.2
4.7,11.8,0.9,3,3.3,2.013,0.022,7.3,0.044,1.498,0.001,1.5
1.2,13.5,0.6,2.7,1.7,1.912,0.015,6.2,0.108,1.441,0,0.8
1.8,14.5,0.9,2.8,1.9,1.898,0.01,8.6,0.084,1.527,0,1
4,13.2,1,2.3,1.8,2.006,0.01,7.3,0.168,1.468,0.001,0.6
4.3,13.2,0.7,2.7,2.6,2.326,0.006,7.5,0.162,1.501,0,1.3
4.6,13.2,0.8,2.9,2.4,2.107,0.008,7.6,0.152,1.465,0.001,1
7.2,12.4,0.7,2.8,3.1,2.116,0.009,7.3,0.144,1.44,0,1.7
9.2,12.5,1.1,3.1,3,2.027,0.009,7.7,0.144,1.46,0.001,1.8
10.1,11.3,1,2.6,3.9,2.384,0.015,7.9,0.123,1.682,0.001,1.6
11.1,11.3,0.9,2.7,2.9,2.177,0.01,7.4,0.141,1.671,0.001,2.8
11.9,10.6,0.7,2.9,3.6,2.265,0.011,7.4,0.106,1.758,0,2.2
14.3,10.8,1.3,3,5.5,2.222,0.009,7.1,0.046,1.81,0.001,1.7
17.7,10.5,1.2,3.2,6.1,2.216,0.011,7.7,0.023,1.724,0,2.2
19.2,11.1,1.8,3.5,11.8,2.178,0.015,8.3,0.007,1.559,0,2.6
18.9,10.8,1.4,3.2,10.5,1.809,0.012,8.1,0.004,1.367,0.001,3
21.1,10.2,1.2,2.7,6.4,1.783,0.011,7.7,0.023,1.278,0.001,2.8
22.6,9.8,1.4,3.6,5,1.64,0.013,7.8,0.031,1.189,0.001,2.1
22.3,9.2,1.5,3.2,4.2,1.64,0.009,7.4,0.044,1.169,0,1.4
23.9,9.4,1,3.1,5.1,1.576,0.01,7.7,0.038,1.061,0.001,1.3
25.4,9.1,1.2,3.3,4.1,1.444,0.01,7.9,0.044,0.933,0,1.4
26.1,9.1,1,3.4,3.3,1.331,0.01,8.2,0.035,0.884,0.001,0.6
25.1,8.5,0.7,2.5,1.7,1.374,0.007,7.7,0.046,0.933,0,0.7
25.2,7.8,0.8,3,3.5,1.315,0.01,7.4,0.04,0.916,0.001,1.6
24.7,8.1,0.6,3.4,3,1.318,0.011,8,0.033,0.804,0,2.5
22.1,7.6,1.1,3.9,3.2,2.347,0.046,7,0.033,1.627,0.008,10
27.2,10.5,2.2,4.6,18.4,2.281,0.034,8.2,0.089,1.517,0.003,3.5
29.2,9.8,2,4.2,16.9,2.1,0.035,8,0.009,1.543,0.009,3.1
27.6,9.7,2.2,5.3,29.4,1.902,0.019,8.6,0.013,1.695,0.001,5.6
27.5,10.4,1.7,5.6,24,1.871,0.014,8.7,0.001,1.549,0.001,5.4
26.2,8.9,1.1,4.2,14.1,1.794,0.023,7.6,0.001,1.627,0,4.2
25.2,8.3,1.2,3.8,20.8,1.72,0.014,7.3,0.013,1.315,0.001,4.9
23.9,9,1.1,4,21.6,1.532,0.009,7.5,0.008,1.17,0.001,4.3
23.4,8.8,1.5,3.7,16.3,1.587,0.012,7.5,0.013,1.181,0.001,5.4
22.2,8.6,0.9,3.6,7.4,1.606,0.013,7.5,0.031,1.122,0,3.4
20.4,9,0.9,2.9,19.4,1.485,0.01,7,0.1,1.125,0,4.3
19.2,8.4,0.8,4.1,15.8,1.358,0.009,7.9,0.052,1.258,0.001,4.1
19,9,0.8,3.6,11.7,1.386,0.009,7.5,0.028,1.034,0,3.3
17.7,8.9,0.8,2.9,10.5,1.415,0.01,7.2,0.035,1.182,0,2.7
14.6,9.5,0.7,3.2,8.7,1.458,0.011,7.7,0.016,1.204,0.001,2.9
13.7,10,0.4,2.2,8,1.449,0.008,7.8,0.018,1.238,0.002,2.2
13.5,9.9,0.9,2.4,9,1.572,0.033,7.4,0.031,1.357,0.001,2.6
12.4,10.3,0.6,2.9,10.5,1.505,0.009,8,0.02,1.412,0.001,2.6
9.2,10.2,0.6,2.4,7.1,1.713,0.011,8.4,0.032,1.561,0.001,1.6
7.3,10.6,0.5,2.1,5.1,1.861,0.012,7.6,0.039,1.676,0.002,2.2
6.9,11.2,0.7,2.7,6.5,2.081,0.01,7.7,0.051,1.805,0.001,1.7
5.3,11.5,0.4,2,5.3,2.295,0.009,8,0.067,2.027,0.001,1.6
4.6,13.6,1.4,4,6,3.264,0.012,7.6,0.092,2.607,0,1.2
7.2,13.3,1,3.7,5.8,2.867,0.012,7.1,0.121,2.306,0.001,1.9
8,12.8,0.9,3.5,4.9,2.851,0.011,7.7,0.158,2.39,0.001,2.5
9.4,12.3,1.1,3.9,6.7,2.694,0.013,7.6,0.165,2.348,0.001,2.9
11.9,11.8,1.3,4.4,12.6,2.666,0.016,8,0.246,2.098,0.001,3.2
13.1,11.1,1.6,3.8,14,2.412,0.02,7.8,0.047,1.906,0.001,6.3
14.5,11.3,1.3,3.9,15.9,2.211,0.018,8,0.039,1.998,0.001,5.5
18.2,11,1.3,3.7,10.4,2.173,0.015,7.9,0.015,1.997,0.001,5.5
17.2,10.6,1.2,3.3,8.9,2.007,0.012,7.8,0.021,1.69,0,4.3
18.3,10.3,1.5,3.4,6.1,1.927,0.012,7.6,0.009,1.564,0,3.6
18.6,10.8,1.1,3.7,6.8,1.723,0.011,8.2,0.006,1.529,0,2.8
21.4,10.1,0.8,2.8,2.9,1.873,0.012,8.1,0.046,1.631,0.001,1.3
23.4,9.9,1,3.5,2.9,1.787,0.014,8.4,0.049,1.403,0.001,1.3
23.5,9.5,0.9,4,2.2,1.703,0.015,7.8,0.054,1.339,0,0.7
23.9,9.1,0.9,5,6,1.726,0.013,8.2,0.064,1.258,0,1.6
24.8,8.8,1.4,4.3,8.7,1.532,0.015,8.1,0.043,1.123,0,2.1
19.2,7.4,1.1,4.2,4.6,2.032,0.044,7.4,0.063,1.646,0.003,10.6
20.5,8.1,0.5,3.9,5.8,2.326,0.047,7,0.045,1.921,0.007,10.3
18.3,8.9,0.6,3,6.8,2.203,0.041,6.9,0.023,1.751,0.001,5.2
19.9,9.5,0.8,3.1,7.7,1.996,0.025,8.5,0.028,1.63,0,4
24.7,9.4,0.7,4.2,15.7,1.971,0.028,8.2,0.017,1.604,0,4
27.7,10.2,1.1,3.8,7.6,1.973,0.022,8.7,0.024,1.527,0.001,2.2
30.6,6.8,0.7,3.7,4,1.856,0.016,8.5,0.021,1.517,0.005,0.9
28.6,8.6,0.7,3.5,12.1,1.648,0.017,7.8,0.014,1.337,0.004,2.1
25.7,7.7,1,3.7,13.1,1.539,0.012,7.5,0.026,1.242,0,4.5
24.5,7.9,0.5,3.2,7.6,1.603,0.01,7.4,0.02,1.368,0,2.3
23.9,7.2,0.7,3.6,8.8,1.665,0.012,7.5,0.012,1.362,0,2.5
23.3,7.7,0.6,2.8,5.4,1.484,0.015,7.4,0.015,1.279,0,2
22.5,8.3,0.6,2.9,4.7,1.553,0.009,7.6,0.021,1.283,0,1.9
21.7,7.8,0.7,3.3,7,1.352,0.013,7.3,0.028,1.256,0,2.9
20.5,8.5,0.8,2.7,7.6,1.431,0.018,7.5,0.019,1.108,0,2.6
19,8.8,0.5,3.3,7.4,1.389,0.013,7.6,0.015,1.106,0.001,2.1
18.1,8.8,0.6,3.6,7.9,1.228,0.014,7.5,0.013,1.04,0.001,2.8
16,7.5,0.6,3.3,8.7,1.33,0.013,7.5,0.012,1.07,0.002,2.5
14.4,9.2,0.7,2.9,8.5,1.252,0.011,7.1,0.032,1.05,0.001,2.1
13,10,0.7,3.3,9.6,1.357,0.009,7.5,0.027,1.195,0,2.6
11.8,10.8,0.6,3.2,6,1.451,0.008,7.4,0.017,1.224,0.001,2.2
8.9,10.7,0.4,3.9,4.9,1.4,0.008,7.6,0.022,1.317,0.001,1.7
7.7,11.2,0.6,3.5,3.8,1.602,0.012,7.6,0.026,1.39,0.001,1
6,11.4,0.8,3.3,3.1,1.846,0.01,7.6,0.032,1.555,0,1.1
4.8,11.9,0.5,3.4,3,1.951,0.01,7.6,0.055,1.679,0.001,0.9
4.3,12.1,0.7,4.3,4.8,2.073,0.014,6.9,0.092,1.762,0.001,1.8
3.2,12.6,1,3.2,4.1,2.198,0.011,8.1,0.08,1.951,0,1
3.9,12.8,0.7,3.4,3.9,2.124,0.012,7,0.049,1.781,0,1.4
3.3,12.3,0.9,2.5,5.4,2.08,0.008,8.5,0.058,1.73,0,1.6
4.2,13.1,0.9,2.6,5.3,1.982,0.009,7.9,0.109,1.703,0,1.6
4.2,14,1.1,3.4,5.5,2.002,0.01,7.7,0.064,1.633,0.001,2.5
5.4,13.7,0.8,3,4.5,1.913,0.007,7.7,0.044,1.593,0.001,1.8
7.2,13.3,0.9,3.1,5.6,1.943,0.011,7.9,0.047,1.52,0,2
7.9,13,0.9,3,5.1,1.896,0.008,7.8,0.066,1.537,0,2.3
9.2,12.5,0.7,2.9,5.1,1.801,0.01,7.7,0.069,1.499,0,1.7
11.5,12.3,1.1,3.1,5.6,1.903,0.01,7.6,0.047,1.616,0,2
14,11.7,1.3,3.1,8.3,1.821,0.013,7.8,0.041,1.626,0,2.2
14.5,11.5,0.9,3.1,3.4,1.901,0.01,7.6,0.027,1.661,0,1.9
18.2,10.9,1.1,3.2,4.3,1.786,0.011,7.4,0.027,1.54,0.001,2.2
17.4,10.5,1.2,3.6,5.4,1.596,0.01,7.7,0.037,1.328,0,3.2
16.7,10.7,1.1,3.9,6.9,1.623,0.013,7.6,0.036,1.29,0.001,3.6
21,10,0.7,3.3,2.7,1.685,0.011,7.8,0.037,1.374,0.001,0.9
20.5,10.1,0.8,3.2,3.3,1.551,0.014,7.9,0.045,1.318,0.001,1.8
21.2,9.8,0.8,3.3,2.1,1.604,0.008,7.8,0.042,1.262,0,1.4
16.7,10.3,0.7,3.1,3.4,1.419,0.007,7.7,0.03,1.253,0,1.8
24.4,9.7,0.9,3.1,3.1,1.527,0.011,8.1,0.033,1.178,0,1
24.8,9.1,0.8,3.5,3.8,1.421,0.009,7.8,0.028,1.147,0,1.1
24,7.5,1.2,4.1,12.6,2.247,0.026,7.1,0.048,1.922,0.007,6.1
23,8.9,0.9,4,14,1.721,0.024,7.5,0.017,1.471,0.001,5.3
26.4,8.9,0.9,3.7,8.9,1.704,0.016,8.1,0.009,1.394,0,3.1
24.6,8.3,0.8,3.5,8.2,1.562,0.017,7.5,0.017,1.249,0,5.1
21.1,9.1,1.6,5.4,6.1,2.379,0.135,7.3,0.028,1.722,0.028,47
20.6,10.5,0.7,4.1,3.3,1.857,0.037,7.4,0.003,1.473,0.004,10.4
21.1,10,0.7,3,7.5,1.944,0.017,7.6,0.004,1.655,0.001,3.6
20.1,10.2,0.7,3.2,4.4,1.901,0.014,8.3,0.012,1.708,0.002,2.1
20.6,9.8,0.8,3.1,5,2.104,0.014,8.3,0.004,1.788,0,3
20.7,9.6,0.7,3,6,2.072,0.017,8.1,0.009,1.674,0,1.9
20.5,9.4,0.6,3,4.6,1.97,0.012,7.6,0.002,1.582,0,1.4
17.5,8.5,0.6,3.2,4.4,1.79,0.013,7.3,0.013,1.607,0,2.2
16.2,9.1,0.6,3.4,5.6,1.732,0.012,7.4,0.024,1.47,0,2.6
15.1,9.1,0.6,3.2,4.8,1.742,0.011,7.4,0.04,1.445,0,2
14,9.5,0.4,3.4,5.9,1.904,0.013,7.3,0.028,1.456,0.001,1.8
11.5,9.6,0.9,3.3,4.3,1.685,0.023,7.4,0.035,1.459,0.002,2.1
8.7,10.3,0.4,3.2,2.9,1.731,0.008,7.3,0.046,1.478,0.003,1.7
6.7,11,0.6,3.8,2.2,1.842,0.008,7.6,0.054,1.527,0.002,1.1
6,11.2,0.4,3.3,2.3,1.8,0.008,7.6,0.056,1.562,0.001,1.3
4.1,11.8,0.4,3.4,2.9,1.758,0.01,7.7,0.058,1.473,0.001,0.8
2.3,12.1,0.6,3,2.6,1.829,0.01,7.9,0.067,1.452,0,0.8
2.5,12.4,0.7,2.7,2.3,1.724,0.012,8.1,0.076,1.508,0.002,1
1.8,12.6,1,2.9,4.8,1.741,0.007,8,0.121,1.485,0,1.2
1.7,12.6,1.1,3.2,5.2,1.549,0.012,7.9,0.101,1.348,0,1.4
3.7,13.3,0.8,3.2,6,1.64,0.014,7.6,0.09,1.358,0.001,2.4
4.9,14.9,0.8,3.1,5,1.712,0.01,7.9,0.108,1.389,0.001,2
6.2,14.2,1,3,5.3,1.841,0.012,7.8,0.084,1.559,0,2.4
7.6,14.3,1.1,3.3,7.4,1.944,0.012,8,0.09,1.548,0.003,2.4
11.6,12.3,1.3,3.7,9.1,2.076,0.013,8.6,0.068,1.719,0.001,2.9
9.3,11.8,1.3,4.4,15.4,1.969,0.016,8.1,0.043,1.653,0.001,6.1
10.9,11.6,1.2,3.8,12.4,1.837,0.013,8.1,0.045,1.597,0,4.7
11.9,11.1,1.3,4,14.6,1.887,0.014,8.1,0.023,1.559,0,5.5
14.4,11,1,3.6,9.1,2.482,0.018,8.4,0.019,2.147,0,4
15.6,10.8,1.5,3.7,23.1,2.153,0.016,8,0.017,1.845,0,5.7
15.8,10.4,1.4,3.7,16.5,2.03,0.019,7.9,0.022,1.769,0,5.4
13.7,10.1,0.8,3.2,1.8,2.461,0.075,7.3,0.04,2.042,0.009,13.3
16.3,10.5,0.9,3,7.9,2.192,0.02,7.9,0.01,1.866,0.001,4.5
17.8,10.7,0.8,2.8,3.9,1.844,0.013,7.8,0.018,1.577,0,2.4
18.3,10.1,0.9,3,6.5,1.725,0.013,8.8,0.013,1.51,0,2.6
18.4,10.2,0.4,3,3.8,1.549,0.011,8.8,0.019,1.346,0.002,2
23.5,9.7,1.1,3.5,4.7,1.967,0.014,9,0.023,1.52,0.001,1.9
20.6,9.2,1.5,3.5,22.8,1.971,0.028,7.5,0.004,1.614,0.003,6.5
23.2,9.6,1.3,3.2,14.8,1.838,0.02,8,0.004,1.428,0.002,4.7
27.6,9.3,1.3,3.5,8,1.887,0.017,8.8,0.024,1.454,0.002,3.2
28.5,8.4,1.4,3.9,11.6,1.774,0.017,8.8,0.029,1.376,0,3
