Tem,DO,BOD,COD,Chla,TN,TTP,pH,NH4N,NH3N,PO4P,SS
12,12,1.3,2.3,8.5,2.833,0.04,8,0.032,1.568,0.004,5.2
13,9.3,0.6,2.3,3.4,2.795,0.031,7.9,0.041,1.428,0,4.6
16,10.8,1,3.3,6,1.972,0.026,8,0.013,1.345,0,4
16,11.4,1,2.8,7.9,2.082,0.041,8.1,0.017,1.249,0.004,3.8
16,10.3,1.2,3.5,5.6,2.927,0.055,8.3,0.043,1.227,0.002,5.6
17,9.9,0.9,2.3,5.7,3.136,0.024,8.4,0.041,1.311,0.002,4
18,10.3,0.5,2.7,4.7,1.782,0.018,7.5,0.02,0.993,0,3.6
20,10.7,0.8,3,4.1,1.872,0.016,8,0.013,0.922,0.001,2.6
23,10.6,0.7,2.6,3.5,1.366,0.026,7.8,0.025,0.942,0.002,2
22,10.7,0.9,3.2,8.4,1.652,0.032,8.5,0.014,0.906,0.001,3.4
21,10.5,1.4,3.2,17.3,1.588,0.032,7.3,0.001,1.108,0.001,6.2
22,12.6,1.3,3.3,32.7,1.676,0.03,7.8,0.011,1.142,0.002,7.4
24,10.5,1.6,4.3,22.7,1.715,0.023,8.6,0.002,1.535,0.001,5.2
23,8.5,1.2,3.3,17,1.814,0.031,7.8,0.003,1.453,0,5.2
25,8.3,1.3,3.3,16.6,1.814,0.032,7.4,0.013,1.523,0,5.4
21,11.3,0.9,5.3,8.1,2.174,0.077,8.2,0.044,1.685,0.008,39
20,13.1,0.5,4,1.9,1.593,0.098,7.7,0.028,1.31,0.007,50.8
22,11.7,0.9,5.2,2.9,1.689,0.067,7.5,0.025,1.19,0.01,24.9
21,9.6,0.7,3.5,3.6,1.41,0.063,7.5,0.004,1.224,0.007,26.2
20,8.5,0.6,2.8,2.4,1.451,0.045,6.9,0.013,1.315,0.007,18.4
21,8.8,0.6,2.4,6.4,1.828,0.043,7,0.012,1.367,0.006,9.4
20,10.2,0.4,3.6,4.2,1.813,0.048,8.5,0.043,1.469,0.017,11
20,8,0.4,3,4.5,1.916,0.039,9.3,0.021,1.556,0.014,5.4
20,8.3,0.6,3.2,6,1.751,0.03,6.7,0.014,1.512,0.007,8.6
19,9,0.5,3.2,8.2,2.187,0.029,8.8,0.025,1.538,0.004,6
18,9.7,0.7,3.4,19.1,2.034,0.022,7.6,0.005,1.346,0.001,6.6
13,12.1,0.6,4.3,13.4,1.483,0.018,8.4,0.022,1.324,0.001,6.2
12,11.1,1,3.3,14.3,1.763,0.028,8.6,0.022,1.456,0.004,4.6
9,11.9,0.4,2.5,5.9,1.667,0.016,9.5,0.015,1.434,0.004,3.6
9,11.9,0.4,2.5,5.9,1.667,0.016,9.5,0.015,1.434,0.004,3.6
9,11.3,0.5,3.7,10.6,1.908,0.021,8.5,0.032,1.521,0.006,2.6
9,11.3,0.5,3.7,10.6,1.908,0.021,8.5,0.032,1.521,0.006,2.6
6,13.2,0.5,3,1.9,1.694,0.013,8.1,0.03,1.491,0.001,2.4
5,14.1,0.6,3.5,5,1.948,0.02,9.5,0.056,1.566,0.001,2.8
5,14.8,0.9,3.6,7.6,1.814,0.019,9.5,0.036,1.564,0.001,3
4,15.5,0.9,3.5,16.7,1.912,0.024,8.7,0.018,1.619,0.001,3.8
2,14.3,0.5,3.6,16.7,1.765,0.02,7.9,0.031,1.454,0.001,4.2
3,14.4,0.9,3.3,21.8,1.849,0.019,8.3,0.022,1.591,0,4
2,15.3,0.9,3.1,19.3,1.928,0.021,9.3,0.025,1.553,0,3.6
2,15.8,1.4,4.1,25.9,1.962,0.024,9.2,0.058,1.622,0,5.2
2,17.4,1.5,3.8,22.9,1.715,0.023,9.5,0.039,1.461,0.002,4.4
2,16.4,1.3,3.7,18.2,1.681,0.017,8.3,0.035,1.384,0.001,3.6
2,14.5,1.5,2.9,14.2,1.853,0.031,8.2,0.047,1.404,0.006,3.8
3,15.5,1.2,3.7,13.2,1.591,0.015,8.2,0.073,1.33,0.003,4.8
3,14.9,1.5,4.8,19.6,1.564,0.022,8.4,0.04,1.292,0,4.4
4,15.4,1.9,4.6,19.6,1.547,0.021,8.5,0.014,1.332,0.002,5.6
5,15.9,1.7,4.4,19.6,1.654,0.022,9.2,0.012,1.313,0.003,6
7,14.6,1.3,4.1,13.5,1.642,0.02,8.8,0.047,1.368,0.005,3.8
8,13.2,1.2,3.1,9.4,1.765,0.027,8.3,0.043,1.46,0.001,3.4
9,13,1.5,3.1,19.7,1.924,0.035,8.2,0.051,1.473,0,4.4
10.4,13.6,1.8,3.4,35.2,1.836,0.031,8.5,0.023,1.587,0.003,4.8
12,13.7,1.2,3.7,12.5,1.601,0.032,8.8,0.016,1.371,0.01,4.2
15,12.4,1.9,3.8,17.3,1.591,0.051,8.9,0.016,1.314,0.005,4
14,12.5,1.2,3.2,18.3,1.464,0.026,8.3,0.017,1.19,0.002,3.4
14,11.9,1.4,3.2,14,1.363,0.029,8.1,0.003,1.155,0.002,4.2
15,10.6,0.9,2.9,7.3,1.382,0.024,7.7,0.024,1.162,0.003,3.8
15,10.5,1.9,3.6,7.7,1.573,0.057,7.9,0.028,1.228,0.006,5.8
20,11.4,2.7,3.8,53.1,1.481,0.048,8.8,0.039,1.102,0.006,6.2
